City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Yanggu,CN,2022-02-05 00:06:46,36.1106,115.7753,26.01,30,3,4.41
252,Metkovic,HR,2022-02-05 00:06:46,43.0542,17.6483,42.8,73,31,4.14
253,Salta,AR,2022-02-05 00:06:46,-24.7859,-65.4117,68.29,83,65,1.01
254,Mazyr,BY,2022-02-05 00:06:47,52.0495,29.2456,10.69,97,70,7.83
255,Norman Wells,CA,2022-02-05 00:03:02,65.282,-126.8329,-13.52,87,100,10.27
256,Prokuplje,RS,2022-02-05 00:06:47,43.2342,21.5881,30.56,82,3,2.82
257,Mount Isa,AU,2022-02-05 00:01:57,-20.7333,139.5,82.17,30,18,11.5
258,Moa,CU,2022-02-05 00:06:48,20.6569,-74.9403,74.03,82,22,9.6
259,Tamandare,BR,2022-02-05 00:06:48,-8.7597,-35.1047,78.64,76,35,7.14
260,Cherskiy,RU,2022-02-05 00:05:25,68.75,161.3,-33.47,98,16,4.32
261,Macheng,CN,2022-02-05 00:06:49,31.1783,115.0319,36.82,75,4,3.44
262,Bud,US,2022-02-05 00:06:49,39.447,-86.1758,21.25,96,68,4.18
263,Turukhansk,RU,2022-02-05 00:06:50,65.8167,87.9833,12.4,94,100,13.22
264,Luan,CH,2022-02-05 00:06:50,46.3592,6.9759,37.56,88,99,2.17
265,Chegem,RU,2022-02-05 00:06:50,43.2833,43.1333,5.67,81,44,10.18
266,Flinders,AU,2022-02-05 00:06:51,-34.5833,150.8552,69.19,73,83,11.01
267,Dunedin,NZ,2022-02-05 00:06:51,-45.8742,170.5036,58.8,52,100,8.01
268,Maldonado,UY,2022-02-05 00:06:31,-34.6667,-54.9167,69.22,94,34,3.04
269,Hambantota,LK,2022-02-05 00:06:52,6.1241,81.1185,72.84,87,24,7.05
270,Cairns,AU,2022-02-05 00:06:52,-16.9167,145.7667,86.29,74,40,5.75
271,Merzifon,TR,2022-02-05 00:06:52,40.8733,35.4631,27.86,64,0,5.75
272,Ulladulla,AU,2022-02-05 00:06:53,-35.35,150.4667,68.88,76,99,12.46
273,Springbok,ZA,2022-02-05 00:06:54,-29.6643,17.8865,74.84,30,35,4.16
274,Bubaque,GW,2022-02-05 00:04:21,11.2833,-15.8333,78.04,70,2,12.95
275,Isangel,VU,2022-02-05 00:06:54,-19.55,169.2667,76.78,93,100,1.41
276,Riyadh,SA,2022-02-05 00:06:54,24.6877,46.7219,68.14,54,45,13.89
277,Namibe,AO,2022-02-05 00:06:55,-15.1961,12.1522,71.42,72,68,7.05
278,Pevek,RU,2022-02-05 00:07:55,69.7008,170.3133,-22.92,100,95,5.48
279,Grand Baie,MU,2022-02-05 00:07:56,-20.0182,57.5802,79.45,82,90,7.0
280,San Policarpo,PH,2022-02-05 00:07:56,12.1791,125.5072,79.83,81,100,17.58
281,Airai,TL,2022-02-05 00:07:56,-8.9266,125.4092,68.16,73,85,1.77
282,Rio Grande,BR,2022-02-05 00:07:57,-32.035,-52.0986,74.95,90,18,8.99
283,Nishihara,JP,2022-02-05 00:07:57,26.1842,127.7558,60.08,59,75,21.85
284,Krasnoarmeysk,RU,2022-02-05 00:07:58,51.0239,45.6969,17.76,93,100,12.06
285,Makubetsu,JP,2022-02-05 00:07:58,45.3714,141.8211,22.71,74,75,18.41
