City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,San Alberto,CO,7.7611,-73.3922,88.66,56,50,4.7,scattered clouds
188,Pombas,CV,17.1503,-25.0201,71.38,77,5,13.24,clear sky
189,Nacala,MZ,-14.5428,40.6728,77.72,87,11,6.73,light rain
190,Dawei,MM,14.0833,98.2,72.64,88,59,3.22,broken clouds
191,Kadoma,JP,34.7333,135.5833,39.18,62,30,2.06,scattered clouds
192,Bandarbeyla,SO,9.4942,50.8122,75.87,72,100,14.9,overcast clouds
193,Cayenne,GF,4.9333,-52.3333,82.09,84,75,5.01,light rain
194,Pacific Grove,US,36.6177,-121.9166,67.1,50,0,3.0,clear sky
195,Muzhi,RU,65.3667,64.6667,-20.99,100,94,1.19,overcast clouds
196,Algeciras,ES,36.1333,-5.4505,60.57,77,40,20.71,scattered clouds
197,Pacifica,US,37.6138,-122.4869,64.67,61,0,5.01,clear sky
198,Chuy,UY,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
199,Leshukonskoye,RU,64.8989,45.7622,16.36,94,100,9.08,light snow
200,Ancud,CL,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
201,Taoudenni,ML,22.6783,-3.9836,74.12,10,73,8.55,broken clouds
202,Biankouma,CI,7.7391,-7.6138,78.69,18,1,2.84,clear sky
203,Santa Fe,AR,-31.6333,-60.7,80.02,33,0,8.01,clear sky
204,Assai,BR,-23.3733,-50.8414,87.66,83,61,5.59,broken clouds
205,Bambous Virieux,MU,-20.3428,57.7575,79.21,82,92,12.73,overcast clouds
206,Banfora,BF,10.6333,-4.7667,83.98,12,2,3.65,clear sky
207,Agadez,NE,19.75,10.25,61.63,14,0,6.24,clear sky
208,Tual,ID,-5.6667,132.75,82.83,76,100,6.46,overcast clouds
209,Forio,IT,40.7342,13.8646,55.69,88,96,13.18,overcast clouds
210,Middelburg,ZA,-25.7751,29.4648,61.57,74,34,11.36,scattered clouds
211,Bambanglipuro,ID,-7.95,110.2833,75.99,88,100,4.68,overcast clouds
212,Nemuro,JP,43.3236,145.575,24.96,74,97,16.84,overcast clouds
213,Araouane,ML,18.9048,-3.5265,71.33,9,0,8.61,clear sky
214,Lavrentiya,RU,65.5833,-171.0,-12.37,93,5,6.89,clear sky
215,Salalah,OM,17.0151,54.0924,75.29,78,0,3.44,clear sky
216,Kamenka,RU,51.3223,42.7678,24.75,98,93,5.23,overcast clouds
217,Tasiilaq,GL,65.6145,-37.6368,23.16,62,100,35.54,overcast clouds
